Entity,Code,Year,Homosexuality: Never justifiable (aggregate),1076555-annotations,World regions according to OWID
Afghanistan,AFG,2023,,,Asia
Aland Islands,ALA,2023,,,Europe
Albania,ALB,1998,83.08308,,
Albania,ALB,2004,91.39999,,
Albania,ALB,2010,76.76758,,
Albania,ALB,2022,83.66472,,
Albania,ALB,2023,,,Europe
Algeria,DZA,2004,95.47581,,
Algeria,DZA,2014,74.83334,,
Algeria,DZA,2023,,,Africa
American Samoa,ASM,2023,,,Oceania
Andorra,AND,2010,10.66386,,
Andorra,AND,2022,10.75697,,
Andorra,AND,2023,,,Europe
Angola,AGO,2023,,,Africa
Anguilla,AIA,2023,,,North America
Antigua and Barbuda,ATG,2023,,,North America
Argentina,ARG,1984,69.2563,,
Argentina,ARG,1993,66.76646,,
Argentina,ARG,1998,41.10847,,
Argentina,ARG,2004,43.70055,,
Argentina,ARG,2010,33.38482,,
Argentina,ARG,2014,31.43941,,
Argentina,ARG,2022,25.00023,,
Argentina,ARG,2023,,,South America
Armenia,ARM,1998,80.8,,
Armenia,ARM,2010,96.91998,,
Armenia,ARM,2014,97.70454,,
Armenia,ARM,2022,94.06127,,
Armenia,ARM,2023,,,Asia
Aruba,ABW,2023,,,North America
Australia,AUS,1984,54.96312,,
Australia,AUS,1998,43.01437,,
Australia,AUS,2010,32.78855,,
Australia,AUS,2014,20.4251,,
Australia,AUS,2022,16.6998,,
Australia,AUS,2023,,,Oceania
Austria,AUT,1993,64.09384,,
Austria,AUT,2004,40.61536,,
Austria,AUT,2010,35.14515,,
Austria,AUT,2022,21.01952,,
Austria,AUT,2023,,,Europe
Austria-Hungary,OWID_AUH,2023,,,Europe
Azerbaijan,AZE,1998,88.61139,,
Azerbaijan,AZE,2014,98.02955,,
Azerbaijan,AZE,2022,90.48132,,
Azerbaijan,AZE,2023,,,Asia
Bahamas,BHS,2023,,,North America
Bahrain,BHR,2023,,,Asia
Bangladesh,BGD,2004,96.4,,
Bangladesh,BGD,2022,95.75,,
Bangladesh,BGD,2023,,,Asia
Barbados,BRB,2023,,,North America
Belarus,BLR,1993,83.74384,,
Belarus,BLR,1998,70.88911,,
Belarus,BLR,2004,66.8,,
Belarus,BLR,2010,73.25625,,
Belarus,BLR,2014,79.86076,,
Belarus,BLR,2022,76.96824,,
Belarus,BLR,2023,,,Europe
Belgium,BEL,1984,60.98413,,
Belgium,BEL,1993,52.14432,,
Belgium,BEL,2004,34.99314,,
Belgium,BEL,2010,29.42172,,
Belgium,BEL,2023,,,Europe
Belize,BLZ,2023,,,North America
Benin,BEN,2023,,,Africa
Bermuda,BMU,2023,,,North America
Bhutan,BTN,2023,,,Asia
Bolivia,BOL,2022,59.45815,,
Bolivia,BOL,2023,,,South America
Bonaire Sint Eustatius and Saba,BES,2023,,,North America
Bosnia and Herzegovina,BIH,1998,84.91667,,
Bosnia and Herzegovina,BIH,2004,85.5,,
Bosnia and Herzegovina,BIH,2010,87.76357,,
Bosnia and Herzegovina,BIH,2022,89.11941,,
Bosnia and Herzegovina,BIH,2023,,,Europe
Botswana,BWA,2023,,,Africa
Brazil,BRA,1993,77.49807,,
Brazil,BRA,1998,67.10411,,
Brazil,BRA,2010,47.49163,,
Brazil,BRA,2014,43.08959,,
Brazil,BRA,2022,35.86702,,
Brazil,BRA,2023,,,South America
British Indian Ocean Territory,IOT,2023,,,Asia
British Virgin Islands,VGB,2023,,,North America
Brunei,BRN,2023,,,Asia
Bulgaria,BGR,1993,84.91296,,
Bulgaria,BGR,1998,51.86567,,
Bulgaria,BGR,2004,68.25274,,
Bulgaria,BGR,2010,57.62448,,
Bulgaria,BGR,2022,70.53515,,
Bulgaria,BGR,2023,,,Europe
Burkina Faso,BFA,2010,86.22754,,
Burkina Faso,BFA,2023,,,Africa
Burundi,BDI,2023,,,Africa
Cambodia,KHM,2023,,,Asia
Cameroon,CMR,2023,,,Africa
Canada,CAN,1984,64.5496,,
Canada,CAN,1993,52.3334,,
Canada,CAN,2004,34.60587,,
Canada,CAN,2010,28.29811,,
Canada,CAN,2022,11.4143,,
Canada,CAN,2023,,,North America
Cape Verde,CPV,2023,,,Africa
Cayman Islands,CYM,2023,,,North America
Central African Republic,CAF,2023,,,Africa
Chad,TCD,2023,,,Africa
Chile,CHL,1993,86.6,,
Chile,CHL,1998,64.5788,,
Chile,CHL,2004,52.35111,,
Chile,CHL,2010,39.18432,,
Chile,CHL,2014,28,,
Chile,CHL,2022,40.11349,,
Chile,CHL,2023,,,South America
China,CHN,1993,95,,
China,CHN,1998,88.13333,,
China,CHN,2004,87.3,,
China,CHN,2010,77.48569,,
China,CHN,2014,70.94439,,
China,CHN,2022,82.76263,,
China,CHN,2023,,,Asia
Christmas Island,CXR,2023,,,Asia
Cocos Islands,CCK,2023,,,Asia
Colombia,COL,1998,75.66805,,
Colombia,COL,2010,59.6033,,
Colombia,COL,2014,62.96296,,
Colombia,COL,2022,54.86842,,
Colombia,COL,2023,,,South America
Comoros,COM,2023,,,Africa
Congo,COG,2023,,,Africa
Cook Islands,COK,2023,,,Oceania
Costa Rica,CRI,2023,,,North America
Cote d'Ivoire,CIV,2023,,,Africa
Croatia,HRV,1998,55.01672,,
Croatia,HRV,2004,77.44523,,
Croatia,HRV,2010,77.95536,,
Croatia,HRV,2022,63.6609,,
Croatia,HRV,2023,,,Europe
Cuba,CUB,2023,,,North America
Curacao,CUW,2023,,,North America
Cyprus,CYP,2010,68.77078,,
Cyprus,CYP,2014,53.56913,,
Cyprus,CYP,2022,51.83689,,
Cyprus,CYP,2023,,,Europe
Czechia,CZE,1993,51.82987,,
Czechia,CZE,1998,18.483,,
Czechia,CZE,2004,38.83438,,
Czechia,CZE,2010,43.24656,,
Czechia,CZE,2022,23.81071,,
Czechia,CZE,2023,,,Europe
Czechoslovakia,OWID_CZS,2023,,,Europe
Democratic Republic of Congo,COD,2023,,,Africa
Democratic Republic of Vietnam,,2023,,,Asia
Denmark,DNK,1984,43.87187,,
Denmark,DNK,1993,42.42719,,
Denmark,DNK,2004,25.41544,,
Denmark,DNK,2010,17.61049,,
Denmark,DNK,2022,6.828658,,
Denmark,DNK,2023,,,Europe
Djibouti,DJI,2023,,,Africa
Dominica,DMA,2023,,,North America
Dominican Republic,DOM,1998,64.26859,,
Dominican Republic,DOM,2023,,,North America
Duchy of Modena and Reggio,,2023,,,Europe
Duchy of Parma and Piacenza,,2023,,,Europe
East Germany,OWID_GDR,2023,,,Europe
East Timor,TLS,2023,,,Asia
Ecuador,ECU,2014,71.29784,,
Ecuador,ECU,2022,58.2289,,
Ecuador,ECU,2023,,,South America
Egypt,EGY,2004,99.86666,,
Egypt,EGY,2023,,,Africa
El Salvador,SLV,1998,83.41308,,
El Salvador,SLV,2023,,,North America
Equatorial Guinea,GNQ,2023,,,Africa
Eritrea,ERI,2023,,,Africa
Estonia,EST,1993,85.11904,,
Estonia,EST,1998,71.2047,,
Estonia,EST,2004,61.48849,,
Estonia,EST,2010,75.92479,,
Estonia,EST,2014,59.97833,,
Estonia,EST,2022,53.4691,,
Estonia,EST,2023,,,Europe
Eswatini,SWZ,2023,,,Africa
Ethiopia,ETH,2010,95.13333,,
Ethiopia,ETH,2022,80.09788,,
Ethiopia,ETH,2023,,,Africa
Ethiopia (former),OWID_ERE,2023,,,Africa
Falkland Islands,FLK,2023,,,South America
Faroe Islands,FRO,2023,,,Europe
Federal Republic of Central America,,2023,,,North America
Fiji,FJI,2023,,,Oceania
Finland,FIN,1984,64.40678,,
Finland,FIN,1993,49.82993,,
Finland,FIN,1998,49.34144,,
Finland,FIN,2004,44.66404,,
Finland,FIN,2010,29.72593,,
Finland,FIN,2022,20.40219,,
Finland,FIN,2023,,,Europe
France,FRA,1984,63.18566,,
France,FRA,1993,49.2016,,
France,FRA,2004,31.38907,,
France,FRA,2010,26.50159,,
France,FRA,2022,20.22517,,
France,FRA,2023,,,Europe
French Guiana,GUF,2023,,,South America
French Polynesia,PYF,2023,,,Oceania
Gabon,GAB,2023,,,Africa
Gambia,GMB,2023,,,Africa
Georgia,GEO,1998,89.64143,,
Georgia,GEO,2010,96.53967,,
Georgia,GEO,2014,97.58736,,
Georgia,GEO,2022,93.09,,
Georgia,GEO,2023,,,Asia
Germany,DEU,1984,65.20187,,
Germany,DEU,1993,48.47801,,
Germany,DEU,1998,27.39388,,
Germany,DEU,2004,32.90831,,
Germany,DEU,2010,29.15786,,
Germany,DEU,2014,32.55945,,
Germany,DEU,2022,14.82768,,
Germany,DEU,2023,,,Europe
Ghana,GHA,2010,89.88251,,
Ghana,GHA,2014,96.83514,,
Ghana,GHA,2023,,,Africa
Gibraltar,GIB,2023,,,Europe
Grand Duchy of Baden,,2023,,,Europe
Grand Duchy of Tuscany,,2023,,,Europe
Great Colombia,,2023,,,South America
Greece,GRC,2004,40.29851,,
Greece,GRC,2010,55.31601,,
Greece,GRC,2022,46.43497,,
Greece,GRC,2023,,,Europe
Greenland,GRL,2023,,,North America
Grenada,GRD,2023,,,North America
Guadeloupe,GLP,2023,,,North America
Guam,GUM,2023,,,Oceania
Guatemala,GTM,2010,70.21442,,
Guatemala,GTM,2022,59.39788,,
Guatemala,GTM,2023,,,North America
Guernsey,GGY,2023,,,Europe
Guinea,GIN,2023,,,Africa
Guinea-Bissau,GNB,2023,,,Africa
Guyana,GUY,2023,,,South America
Haiti,HTI,2014,65.99587,,
Haiti,HTI,2023,,,North America
Honduras,HND,2023,,,North America
Hong Kong,HKG,2010,61.18211,,
Hong Kong,HKG,2014,45.7,,
Hong Kong,HKG,2022,35.93044,,
Hong Kong,HKG,2023,,,Asia
Hungary,HUN,1984,86.54578,,
Hungary,HUN,1993,75.77578,,
Hungary,HUN,1998,57.23077,,
Hungary,HUN,2004,88.68678,,
Hungary,HUN,2010,59.41363,,
Hungary,HUN,2022,57.9521,,
Hungary,HUN,2023,,,Europe
Iceland,ISL,1984,62.93485,,
Iceland,ISL,1993,34.33048,,
Iceland,ISL,2004,18.18182,,
Iceland,ISL,2010,9.218429,,
Iceland,ISL,2022,3.986936,,
Iceland,ISL,2023,,,Europe
India,IND,1993,92.52,,
India,IND,1998,83.33333,,
India,IND,2004,52.4975,,
India,IND,2010,57.42129,,
India,IND,2014,82.29524,,
India,IND,2022,65.22964,,
India,IND,2023,,,Asia
Indonesia,IDN,2004,98.2,,
Indonesia,IDN,2010,94.22598,,
Indonesia,IDN,2022,93.18953,,
Indonesia,IDN,2023,,,Asia
Iran,IRN,2004,92.93049,,
Iran,IRN,2010,93.40083,,
Iran,IRN,2022,91.72781,,
Iran,IRN,2023,,,Asia
Iraq,IRQ,2014,88.91666,,
Iraq,IRQ,2022,58.25,,
Iraq,IRQ,2023,,,Asia
Ireland,IRL,1984,64.74398,,
Ireland,IRL,1993,66.6,,
Ireland,IRL,2004,46.48967,,
Ireland,IRL,2010,37.53122,,
Ireland,IRL,2023,,,Europe
Isle of Man,IMN,2023,,,Europe
Israel,ISR,2004,46.20517,,
Israel,ISR,2023,,,Asia
Italy,ITA,1984,75.10896,,
Italy,ITA,1993,57.76753,,
Italy,ITA,2004,41.8,,
Italy,ITA,2010,59.38735,,
Italy,ITA,2022,27.05919,,
Italy,ITA,2023,,,Europe
Jamaica,JAM,2023,,,North America
Japan,JPN,1984,65.28513,,
Japan,JPN,1993,71.81009,,
Japan,JPN,1998,56.83112,,
Japan,JPN,2004,44.05286,,
Japan,JPN,2010,37.9562,,
Japan,JPN,2014,31.84609,,
Japan,JPN,2022,17.88618,,
Japan,JPN,2023,,,Asia
Jersey,JEY,2023,,,Europe
Jordan,JOR,2004,97.87063,,
Jordan,JOR,2010,99.47227,,
Jordan,JOR,2014,95.75,,
Jordan,JOR,2022,96.25935,,
Jordan,JOR,2023,,,Asia
Kazakhstan,KAZ,2014,82.99058,,
Kazakhstan,KAZ,2022,74.45141,,
Kazakhstan,KAZ,2023,,,Asia
Kenya,KEN,2022,73.95833,,
Kenya,KEN,2023,,,Africa
Kingdom of Bavaria,,2023,,,Europe
Kingdom of Sardinia,,2023,,,Europe
Kingdom of Saxony,,2023,,,Europe
Kingdom of Wurttemberg,,2023,,,Europe
Kingdom of the Two Sicilies,,2023,,,Europe
Kiribati,KIR,2023,,,Oceania
Korea (former),OWID_KRU,2023,,,Asia
Kosovo,OWID_KOS,2010,94.92982,,
Kosovo,OWID_KOS,2023,,,Europe
Kuwait,KWT,2023,,,Asia
Kyrgyzstan,KGZ,2004,87.53595,,
Kyrgyzstan,KGZ,2014,89.73333,,
Kyrgyzstan,KGZ,2022,88.09875,,
Kyrgyzstan,KGZ,2023,,,Asia
Laos,LAO,2023,,,Asia
Latvia,LVA,1993,88.37209,,
Latvia,LVA,1998,67,,
Latvia,LVA,2004,81.34254,,
Latvia,LVA,2010,74.428,,
Latvia,LVA,2022,62.00927,,
Latvia,LVA,2023,,,Europe
Lebanon,LBN,2014,72.41667,,
Lebanon,LBN,2022,84.83334,,
Lebanon,LBN,2023,,,Asia
Lesotho,LSO,2023,,,Africa
Liberia,LBR,2023,,,Africa
Libya,LBY,2014,81.78432,,
Libya,LBY,2022,92.47491,,
Libya,LBY,2023,,,Africa
Liechtenstein,LIE,2023,,,Europe
Lithuania,LTU,1993,92.2,,
Lithuania,LTU,1998,78.09712,,
Lithuania,LTU,2004,78.39153,,
Lithuania,LTU,2010,78.6785,,
Lithuania,LTU,2022,69.46731,,
Lithuania,LTU,2023,,,Europe
Luxembourg,LUX,2004,29.21597,,
Luxembourg,LUX,2010,27.98996,,
Luxembourg,LUX,2023,,,Europe
Macao,MAC,2022,33.00686,,
Macao,MAC,2023,,,Asia
Madagascar,MDG,2023,,,Africa
Malawi,MWI,2023,,,Africa
Malaysia,MYS,2010,71.3572,,
Malaysia,MYS,2014,79.23077,,
Malaysia,MYS,2022,63.13785,,
Malaysia,MYS,2023,,,Asia
Maldives,MDV,2022,97.01637,,
Maldives,MDV,2023,,,Asia
Mali,MLI,2010,66.91325,,
Mali,MLI,2023,,,Africa
Malta,MLT,1993,77.4614,,
Malta,MLT,2004,75.27557,,
Malta,MLT,2010,45.90468,,
Malta,MLT,2023,,,Europe
Marshall Islands,MHL,2023,,,Oceania
Martinique,MTQ,2023,,,North America
Mauritania,MRT,2023,,,Africa
Mauritius,MUS,2023,,,Africa
Mayotte,MYT,2023,,,Africa
Mexico,MEX,1984,84.2728,,
Mexico,MEX,1993,74.78772,,
Mexico,MEX,1998,70.33112,,
Mexico,MEX,2004,56.62452,,
Mexico,MEX,2010,44.29487,,
Mexico,MEX,2014,50,,
Mexico,MEX,2022,47.77916,,
Mexico,MEX,2023,,,North America
Micronesia (country),FSM,2023,,,Oceania
Moldova,MDA,1998,78.76016,,
Moldova,MDA,2004,72.5455,,
Moldova,MDA,2010,81.17838,,
Moldova,MDA,2023,,,Europe
Monaco,MCO,2023,,,Europe
Mongolia,MNG,2022,54.54272,,
Mongolia,MNG,2023,,,Asia
Montenegro,MNE,1998,78.75,,
Montenegro,MNE,2004,90.75471,,
Montenegro,MNE,2010,87.08893,,
Montenegro,MNE,2022,86.86862,,
Montenegro,MNE,2023,,,Europe
Montserrat,MSR,2023,,,North America
Morocco,MAR,2014,89.83333,,
Morocco,MAR,2022,73.75,,
Morocco,MAR,2023,,,Africa
Mozambique,MOZ,2023,,,Africa
Myanmar,MMR,2022,88.75,,
Myanmar,MMR,2023,,,Asia
Namibia,NAM,2023,,,Africa
Nauru,NRU,2023,,,Oceania
Nepal,NPL,2023,,,Asia
Netherlands,NLD,1984,33.89918,,
Netherlands,NLD,1993,20.80534,,
Netherlands,NLD,2004,12.87074,,
Netherlands,NLD,2010,16.07032,,
Netherlands,NLD,2014,15.19453,,
Netherlands,NLD,2022,6.166164,,
Netherlands,NLD,2023,,,Europe
Netherlands Antilles,ANT,2023,,,North America
New Caledonia,NCL,2023,,,Oceania
New Zealand,NZL,1998,39.55038,,
New Zealand,NZL,2010,32.18029,,
New Zealand,NZL,2014,28.29964,,
New Zealand,NZL,2022,18.36735,,
New Zealand,NZL,2023,,,Oceania
Nicaragua,NIC,2022,64.66666,,
Nicaragua,NIC,2023,,,North America
Niger,NER,2023,,,Africa
Nigeria,NGA,1993,93.90609,,
Nigeria,NGA,1998,93.64157,,
Nigeria,NGA,2004,95.99406,,
Nigeria,NGA,2014,92.68072,,
Nigeria,NGA,2022,95.94772,,
Nigeria,NGA,2023,,,Africa
Niue,NIU,2023,,,Oceania
Norfolk Island,NFK,2023,,,Oceania
North Korea,PRK,2023,,,Asia
North Macedonia,MKD,1998,85.92965,,
North Macedonia,MKD,2004,84.30646,,
North Macedonia,MKD,2010,80.62462,,
North Macedonia,MKD,2022,81.03956,,
North Macedonia,MKD,2023,,,Europe
Northern Cyprus,OWID_CYN,2010,78.89706,,
Northern Ireland,,1984,82.18559,,
Northern Ireland,,1993,74.34211,,
Northern Ireland,,2004,51.66967,,
Northern Ireland,,2010,40.97333,,
Northern Ireland,,2022,22.42248,,
Northern Mariana Islands,MNP,2023,,,Oceania
Norway,NOR,1984,60.51379,,
Norway,NOR,1993,54.56013,,
Norway,NOR,1998,36.29104,,
Norway,NOR,2010,16.95784,,
Norway,NOR,2022,10.50327,,
Norway,NOR,2023,,,Europe
Oman,OMN,2023,,,Asia
Orange Free State,,2023,,,Africa
Pakistan,PAK,2004,100,,
Pakistan,PAK,2014,95.66368,,
Pakistan,PAK,2022,90.92732,,
Pakistan,PAK,2023,,,Asia
Pakistan (former),,2023,,,Asia
Palau,PLW,2023,,,Oceania
Palestine,PSE,2014,89.60001,,
Palestine,PSE,2023,,,Asia
Panama,PAN,2023,,,North America
Papua New Guinea,PNG,2023,,,Oceania
Paraguay,PRY,2023,,,South America
Peru,PER,1998,62.5929,,
Peru,PER,2004,74.15057,,
Peru,PER,2014,57.24514,,
Peru,PER,2022,70.19418,,
Peru,PER,2023,,,South America
Philippines,PHL,1998,58.58333,,
Philippines,PHL,2004,54.84292,,
Philippines,PHL,2014,48.91257,,
Philippines,PHL,2022,48.04182,,
Philippines,PHL,2023,,,Asia
Pitcairn,PCN,2023,,,Oceania
Poland,POL,1993,85.36459,,
Poland,POL,1998,72.41978,,
Poland,POL,2004,69.08392,,
Poland,POL,2010,67.03033,,
Poland,POL,2014,56.76252,,
Poland,POL,2022,56.1012,,
Poland,POL,2023,,,Europe
Portugal,PRT,1993,78.54387,,
Portugal,PRT,2004,62.81709,,
Portugal,PRT,2010,43.9061,,
Portugal,PRT,2022,40.50558,,
Portugal,PRT,2023,,,Europe
Puerto Rico,PRI,1998,69.24399,,
Puerto Rico,PRI,2004,57.5,,
Puerto Rico,PRI,2022,35.75865,,
Puerto Rico,PRI,2023,,,North America
Qatar,QAT,2014,94.90592,,
Qatar,QAT,2023,,,Asia
Republic of Vietnam,OWID_RVN,2023,,,Asia
Reunion,REU,2023,,,Africa
Romania,ROU,1993,90.20853,,
Romania,ROU,1998,78.93462,,
Romania,ROU,2004,79.93019,,
Romania,ROU,2010,77.56216,,
Romania,ROU,2014,74.47432,,
Romania,ROU,2022,77.76897,,
Romania,ROU,2023,,,Europe
Russia,RUS,1993,88.06731,,
Russia,RUS,1998,76.76471,,
Russia,RUS,2004,70.9709,,
Russia,RUS,2010,73.19604,,
Russia,RUS,2014,70.93214,,
Russia,RUS,2022,75.46992,,
Russia,RUS,2023,,,Europe
Rwanda,RWA,2010,94.42601,,
Rwanda,RWA,2014,98.82122,,
Rwanda,RWA,2023,,,Africa
Saint Barthelemy,BLM,2023,,,North America
Saint Helena,SHN,2023,,,Africa
Saint Kitts and Nevis,KNA,2023,,,North America
Saint Lucia,LCA,2023,,,North America
Saint Martin (French part),MAF,2023,,,North America
Saint Pierre and Miquelon,SPM,2023,,,North America
Saint Vincent and the Grenadines,VCT,2023,,,North America
Samoa,WSM,2023,,,Oceania
San Marino,SMR,2023,,,Europe
Sao Tome and Principe,STP,2023,,,Africa
Saudi Arabia,SAU,2004,92.67643,,
Saudi Arabia,SAU,2023,,,Asia
Senegal,SEN,2023,,,Africa
Serbia,SRB,1998,74.6875,,
Serbia,SRB,2004,77.83333,,
Serbia,SRB,2010,67.88438,,
Serbia,SRB,2022,70.61884,,
Serbia,SRB,2023,,,Europe
Serbia and Montenegro,OWID_SRM,2023,,,Europe
Seychelles,SYC,2023,,,Africa
Sierra Leone,SLE,2023,,,Africa
Singapore,SGP,2004,76.00107,,
Singapore,SGP,2014,63.62448,,
Singapore,SGP,2022,62.02079,,
Singapore,SGP,2023,,,Asia
Sint Maarten (Dutch part),SXM,2023,,,North America
Slovakia,SVK,1993,63.29588,,
Slovakia,SVK,1998,37.62557,,
Slovakia,SVK,2004,40.04406,,
Slovakia,SVK,2010,37.86336,,
Slovakia,SVK,2022,36.37862,,
Slovakia,SVK,2023,,,Europe
Slovenia,SVN,1993,64.15459,,
Slovenia,SVN,1998,60.77458,,
Slovenia,SVN,2004,50.49702,,
Slovenia,SVN,2010,48.50724,,
Slovenia,SVN,2014,41.34705,,
Slovenia,SVN,2022,35.62547,,
Slovenia,SVN,2023,,,Europe
Solomon Islands,SLB,2023,,,Oceania
Somalia,SOM,2023,,,Africa
South Africa,ZAF,1984,76.19048,,
South Africa,ZAF,1993,76.41213,,
South Africa,ZAF,1998,71.86869,,
South Africa,ZAF,2004,64.93553,,
South Africa,ZAF,2010,69.57001,,
South Africa,ZAF,2014,52.75714,,
South Africa,ZAF,2023,,,Africa
South Georgia and the South Sandwich Islands,SGS,2023,,,South America
South Korea,KOR,1984,79.48454,,
South Korea,KOR,1993,89.28857,,
South Korea,KOR,1998,84.46758,,
South Korea,KOR,2004,74.33334,,
South Korea,KOR,2010,73.44621,,
South Korea,KOR,2014,64.77646,,
South Korea,KOR,2022,72.77109,,
South Korea,KOR,2023,,,Asia
South Sudan,SSD,2023,,,Africa
Spain,ESP,1984,69.56914,,
Spain,ESP,1993,56.04217,,
Spain,ESP,1998,32.85418,,
Spain,ESP,2004,30.91973,,
Spain,ESP,2010,22.80311,,
Spain,ESP,2014,14.531,,
Spain,ESP,2022,19.08352,,
Spain,ESP,2023,,,Europe
Sri Lanka,LKA,2023,,,Asia
Sudan,SDN,2023,,,Africa
Sudan (former),,2023,,,Africa
Suriname,SUR,2023,,,South America
Sweden,SWE,1984,48.00838,,
Sweden,SWE,1993,50.04776,,
Sweden,SWE,1998,20.61447,,
Sweden,SWE,2004,16.12988,,
Sweden,SWE,2010,12.41221,,
Sweden,SWE,2014,12.47873,,
Sweden,SWE,2022,8.707586,,
Sweden,SWE,2023,,,Europe
Switzerland,CHE,1993,48.82933,,
Switzerland,CHE,1998,24.12203,,
Switzerland,CHE,2010,21.46249,,
Switzerland,CHE,2022,14.04424,,
Switzerland,CHE,2023,,,Europe
Syria,SYR,2023,,,Asia
Taiwan,TWN,1998,83.20512,,
Taiwan,TWN,2010,54.42912,,
Taiwan,TWN,2014,39.09299,,
Taiwan,TWN,2022,44.67123,,
Taiwan,TWN,2023,,,Asia
Tajikistan,TJK,2023,,,Asia
Tanzania,TZA,2004,97.52348,,
Tanzania,TZA,2023,,,Africa
Thailand,THA,2010,75.74967,,
Thailand,THA,2014,73.62794,,
Thailand,THA,2022,56.76389,,
Thailand,THA,2023,,,Asia
Togo,TGO,2023,,,Africa
Tokelau,TKL,2023,,,Oceania
Tonga,TON,2023,,,Oceania
Trinidad and Tobago,TTO,2010,83.98441,,
Trinidad and Tobago,TTO,2014,86.68669,,
Trinidad and Tobago,TTO,2023,,,North America
Tunisia,TUN,2014,88.79668,,
Tunisia,TUN,2022,96.34551,,
Tunisia,TUN,2023,,,Africa
Turkey,TUR,1993,89.90292,,
Turkey,TUR,2004,90.38142,,
Turkey,TUR,2010,90.04989,,
Turkey,TUR,2014,91.02409,,
Turkey,TUR,2022,84.05136,,
Turkey,TUR,2023,,,Asia
Turkmenistan,TKM,2023,,,Asia
Turks and Caicos Islands,TCA,2023,,,North America
Tuvalu,TUV,2023,,,Oceania
USSR,OWID_USS,2023,,,Europe
Uganda,UGA,2004,97.44996,,
Uganda,UGA,2023,,,Africa
Ukraine,UKR,1998,72.53646,,
Ukraine,UKR,2004,72.21861,,
Ukraine,UKR,2010,75.52512,,
Ukraine,UKR,2014,79.42915,,
Ukraine,UKR,2022,67.78985,,
Ukraine,UKR,2023,,,Europe
United Arab Emirates,ARE,2023,,,Asia
United Kingdom,GBR,1984,60.51856,"England, Scotland, and Wales",
United Kingdom,GBR,1993,59.50369,"England, Scotland, and Wales",
United Kingdom,GBR,1998,36.5096,"England, Scotland, and Wales",
United Kingdom,GBR,2004,41.6647,"England, Scotland, and Wales",
United Kingdom,GBR,2010,33.10264,"England, Scotland, and Wales",
United Kingdom,GBR,2022,14.54536,"England, Scotland, and Wales",
United Kingdom,GBR,2023,,,Europe
United States,USA,1984,75.13112,,
United States,USA,1993,66.35529,,
United States,USA,1998,54.44142,,
United States,USA,2004,43.24457,,
United States,USA,2010,43.26984,,
United States,USA,2014,33.89992,,
United States,USA,2022,28.09413,,
United States,USA,2023,,,North America
United States Virgin Islands,VIR,2023,,,North America
Uruguay,URY,1998,54.6383,,
Uruguay,URY,2010,25.7,,
Uruguay,URY,2014,25,,
Uruguay,URY,2022,25.93783,,
Uruguay,URY,2023,,,South America
Uzbekistan,UZB,2014,91.39999,,
Uzbekistan,UZB,2023,,,Asia
Vanuatu,VUT,2023,,,Oceania
Vatican,VAT,2023,,,Europe
Venezuela,VEN,1998,86.58334,,
Venezuela,VEN,2004,78.08333,,
Venezuela,VEN,2022,48.65546,,
Venezuela,VEN,2023,,,South America
Vietnam,VNM,2004,81.4,,
Vietnam,VNM,2010,79.06977,,
Vietnam,VNM,2022,32.16666,,
Vietnam,VNM,2023,,,Asia
Wallis and Futuna,WLF,2023,,,Oceania
West Germany,OWID_GFR,2023,,,Europe
Western Sahara,ESH,2023,,,Africa
Yemen,YEM,2014,60.9,,
Yemen,YEM,2023,,,Asia
Yemen Arab Republic,OWID_YAR,2023,,,Asia
Yemen People's Republic,OWID_YPR,2023,,,Asia
Yugoslavia,OWID_YGS,2023,,,Europe
Zambia,ZMB,2010,77.61395,,
Zambia,ZMB,2023,,,Africa
Zimbabwe,ZWE,2004,97.95407,,
Zimbabwe,ZWE,2014,90.07892,,
Zimbabwe,ZWE,2022,90.61728,,
Zimbabwe,ZWE,2023,,,Africa